Date,Value
10/5/2012,1.004386602
10/9/2012,0.989427193
10/10/2012,0.980231758
10/11/2012,0.994247456
10/12/2012,0.998518722
10/15/2012,1.005133461
10/16/2012,1.01438341
10/17/2012,1.012094758
10/18/2012,1.020020388
10/19/2012,1.00220635
10/22/2012,1.000891987
10/23/2012,1.00039287
10/24/2012,0.993349397
10/25/2012,1.011268373
10/26/2012,0.986511549
10/29/2012,0.9995836
10/30/2012,0.990216592
10/31/2012,1.009761339
11/1/2012,1.002081034
11/2/2012,1.011663253
11/5/2012,0.995163161
11/6/2012,0.996415182
11/7/2012,0.999748111
11/8/2012,0.984872292
11/9/2012,0.990998141
11/12/2012,0.990732714
11/13/2012,0.998226159
11/14/2012,1.000424967
11/15/2012,1.019041476
11/16/2012,1.022021133
11/19/2012,1.014299396
11/20/2012,0.998846245
11/21/2012,1.00873707
11/22/2012,1.015644345
11/26/2012,1.002363734
11/27/2012,1.003659558
11/28/2012,0.987801492
11/29/2012,1.009940567
11/30/2012,1.004800602
12/3/2012,1.001288366
12/4/2012,0.99728069
12/5/2012,1.003856882
12/6/2012,1.008060154
12/7/2012,0.99813827
12/10/2012,1.000667586
12/11/2012,0.999115806
12/12/2012,1.005893728
12/13/2012,1.016831517
12/14/2012,0.999469256
12/17/2012,1.009378152
12/18/2012,1.009576868
12/19/2012,1.023923248
12/20/2012,0.9880841
12/21/2012,0.990111839
12/25/2012,1.014090514
12/26/2012,1.014904608
12/27/2012,1.009053456
12/28/2012,1.006994028
1/4/2013,1.028179471
1/7/2013,0.991663579
1/8/2013,0.991418991
1/9/2013,1.006710158
1/10/2013,1.007001829
1/11/2013,1.013980635
1/15/2013,1.007175787
1/16/2013,0.974387573
1/17/2013,1.000867815
1/18/2013,1.028621157
1/21/2013,0.984829559
1/22/2013,0.996482
1/23/2013,0.979183855
1/24/2013,1.012766283
1/25/2013,1.028790511
1/28/2013,0.990633834
1/29/2013,1.003918047
1/30/2013,1.022751159
1/31/2013,1.002223328
2/1/2013,1.004729446
2/4/2013,1.006166354
2/5/2013,0.981045909
2/6/2013,1.037732697
2/7/2013,0.990694172
2/8/2013,0.982045532
2/12/2013,1.019363118
2/13/2013,0.98964652
2/14/2013,1.00496561
2/15/2013,0.988197852
2/18/2013,1.020945373
2/19/2013,0.99688546
2/20/2013,1.008436296
2/21/2013,0.986122558
2/22/2013,1.006791906
2/25/2013,1.024291283
2/26/2013,0.977388251
2/27/2013,0.987293424
2/28/2013,1.027136258
3/1/2013,1.004067659
3/4/2013,1.003955597
3/5/2013,1.002674166
3/6/2013,1.021296734
3/7/2013,1.003001151
3/8/2013,1.026365134
3/11/2013,1.00532658
3/12/2013,0.997227298
3/13/2013,0.993897639
3/14/2013,1.011563252
3/15/2013,1.014518779
3/18/2013,0.972906483
3/19/2013,1.020260869
3/21/2013,1.013430932
3/22/2013,0.976482476
3/25/2013,1.016852063
3/26/2013,0.994034983
3/27/2013,1.00177763
3/28/2013,0.987367318
3/29/2013,1.005021919
4/1/2013,0.978795569
4/2/2013,0.98915619
4/3/2013,1.029889
4/4/2013,1.022030046
4/5/2013,1.015758358
4/8/2013,1.027969478
4/9/2013,0.99998179
4/10/2013,1.007260289
4/11/2013,1.019643868
